Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
2292573187,ESH6,03/16/2026 04:31:00 -07:00,03/16/2026 13:10:27 -07:00,6680.000000000,6704.500000000,2.80000,1225.000000000,1,Long,03/16/2026 00:00:00 -05:00,08:39:27.1118520,
2292573189,ESH6,03/16/2026 04:32:00 -07:00,03/16/2026 13:10:27 -07:00,6680.000000000,6704.500000000,2.80000,1225.000000000,1,Long,03/16/2026 00:00:00 -05:00,08:38:27.0534830,
2292573190,ESH6,03/16/2026 04:35:00 -07:00,03/16/2026 13:10:27 -07:00,6682.750000000,6704.500000000,2.80000,1087.500000000,1,Long,03/16/2026 00:00:00 -05:00,08:35:27.1522390,
2292573191,ESH6,03/16/2026 04:36:00 -07:00,03/16/2026 13:10:27 -07:00,6683.000000000,6704.500000000,2.80000,1075.000000000,1,Long,03/16/2026 00:00:00 -05:00,08:34:27.1222890,
2292573192,ESH6,03/16/2026 04:37:00 -07:00,03/16/2026 13:10:27 -07:00,6687.500000000,6704.500000000,2.80000,850.000000000,1,Long,03/16/2026 00:00:00 -05:00,08:33:27.1611840,
2292573194,ESH6,03/16/2026 04:38:00 -07:00,03/16/2026 13:10:27 -07:00,6686.250000000,6704.500000000,2.80000,912.500000000,1,Long,03/16/2026 00:00:00 -05:00,08:32:27.0266520,
2292573195,ESH6,03/16/2026 04:39:01 -07:00,03/16/2026 13:10:27 -07:00,6686.250000000,6704.500000000,2.80000,912.500000000,1,Long,03/16/2026 00:00:00 -05:00,08:31:26.2834220,
2292573196,ESH6,03/16/2026 04:40:00 -07:00,03/16/2026 13:10:27 -07:00,6686.000000000,6704.500000000,2.80000,925.000000000,1,Long,03/16/2026 00:00:00 -05:00,08:30:27.2551700,
2292573197,ESH6,03/16/2026 04:41:00 -07:00,03/16/2026 13:10:27 -07:00,6687.500000000,6704.500000000,2.80000,850.000000000,1,Long,03/16/2026 00:00:00 -05:00,08:29:27.2919910,
2292573199,ESH6,03/16/2026 04:42:00 -07:00,03/16/2026 13:10:27 -07:00,6687.750000000,6704.500000000,2.80000,837.500000000,1,Long,03/16/2026 00:00:00 -05:00,08:28:27.0116120,
2292573200,ESH6,03/16/2026 04:43:00 -07:00,03/16/2026 13:10:27 -07:00,6688.500000000,6704.500000000,2.80000,800.000000000,1,Long,03/16/2026 00:00:00 -05:00,08:27:27.2090720,
2292573201,ESH6,03/16/2026 04:44:00 -07:00,03/16/2026 13:10:27 -07:00,6689.250000000,6704.500000000,2.80000,762.500000000,1,Long,03/16/2026 00:00:00 -05:00,08:26:27.2090130,
2292573202,ESH6,03/16/2026 04:45:00 -07:00,03/16/2026 13:10:27 -07:00,6689.250000000,6704.500000000,2.80000,762.500000000,1,Long,03/16/2026 00:00:00 -05:00,08:25:27.0182780,
2292573203,ESH6,03/16/2026 04:46:02 -07:00,03/16/2026 13:10:27 -07:00,6689.000000000,6704.500000000,2.80000,775.000000000,1,Long,03/16/2026 00:00:00 -05:00,08:24:25.4953330,
2292573204,ESH6,03/16/2026 04:47:00 -07:00,03/16/2026 13:10:27 -07:00,6689.750000000,6704.500000000,2.80000,737.500000000,1,Long,03/16/2026 00:00:00 -05:00,08:23:27.0213000,
